"Time","pₕ"
0.14229,-0.20206
0.28459,-0.16549
0.42688,-0.17039
0.56917,-0.17802
0.71147,-0.17927
0.85376,-0.18383
0.99605,-0.16432
1.1383,-0.13991
1.2806,-0.096229
1.4229,-0.047105
1.5652,-0.0017508
1.7075,0.047252
1.8498,0.079502
1.9921,0.1105
2.1344,0.1317
2.2767,0.14564
2.419,0.15786
2.5613,0.16655
2.7036,0.17644
2.8459,0.18517
2.9882,0.17803
3.1305,0.16701
3.2727,0.1371
3.415,0.089598
3.5573,0.039551
3.6996,-0.017083
3.8419,-0.060672
3.9842,-0.095062
4.1265,-0.12077
4.2688,-0.13838
4.4111,-0.15229
4.5534,-0.16076
