"Time","pₕ"
0.14229,-0.18842
0.28459,-0.19887
0.42688,-0.18719
0.56917,-0.19071
0.71147,-0.19562
0.85376,-0.1952
0.99605,-0.1849
1.1383,-0.16018
1.2806,-0.1212
1.4229,-0.072915
1.5652,-0.021328
1.7075,0.03124
1.8498,0.075026
1.9921,0.11223
2.1344,0.13916
2.2767,0.1599
2.419,0.17418
2.5613,0.18519
2.7036,0.19413
2.8459,0.19739
2.9882,0.19433
3.1305,0.18004
3.2727,0.15389
3.415,0.11033
3.5573,0.05615
3.6996,-0.000647
3.8419,-0.0544
3.9842,-0.096725
4.1265,-0.1288
4.2688,-0.15292
4.4111,-0.16892
4.5534,-0.18015
