"Time","pₕ"
0.028459,-0.29006
0.056917,-0.23985
0.085376,-0.25475
0.11383,-0.26473
0.14229,-0.27423
0.17075,-0.28361
0.19921,-0.28614
0.22767,-0.28418
0.25613,-0.29484
0.28459,-0.28765
0.31305,-0.29419
0.3415,-0.29543
0.36996,-0.30243
0.39842,-0.2843
0.42688,-0.29672
0.45534,-0.30379
0.4838,-0.2886
0.51226,-0.29006
0.54071,-0.29645
0.56917,-0.30556
0.59763,-0.27304
0.62609,-0.2999
0.65455,-0.27686
0.68301,-0.29771
0.71147,-0.24285
0.73992,-0.25272
0.76838,-0.28682
0.79684,-0.2439
0.8253,-0.27706
0.85376,-0.24333
0.88222,-0.25176
0.91068,-0.23306
0.93914,-0.24692
0.96759,-0.21738
0.99605,-0.24665
1.0245,-0.20832
1.053,-0.21756
1.0814,-0.19294
1.1099,-0.20074
1.1383,-0.17702
1.1668,-0.18348
1.1953,-0.11937
1.2237,-0.14933
1.2522,-0.12329
1.2806,-0.13226
1.3091,-0.10467
1.3376,-0.10368
1.366,-0.063797
1.3945,-0.068123
1.4229,-0.060751
1.4514,-0.046732
1.4798,-0.028198
1.5083,-0.018621
1.5368,-0.0002352
1.5652,0.035796
1.5937,0.028979
1.6221,0.041033
1.6506,0.060062
1.6791,0.091743
1.7075,0.093161
1.736,0.10001
1.7644,0.11627
1.7929,0.1254
1.8214,0.14306
1.8498,0.15577
1.8783,0.15834
1.9067,0.17291
1.9352,0.18693
1.9636,0.19943
1.9921,0.21704
2.0206,0.21039
2.049,0.23164
2.0775,0.23707
2.1059,0.24203
2.1344,0.26036
2.1629,0.25492
2.1913,0.27459
2.2198,0.27751
2.2482,0.28283
2.2767,0.28788
2.3051,0.29446
2.3336,0.29888
2.3621,0.30152
2.3905,0.3128
2.419,0.30738
2.4474,0.3248
2.4759,0.30972
2.5044,0.31826
2.5328,0.32043
2.5613,0.32449
2.5897,0.33961
2.6182,0.32786
2.6467,0.31209
2.6751,0.32743
2.7036,0.34497
2.732,0.30977
2.7605,0.32883
2.7889,0.32798
2.8174,0.3287
2.8459,0.30728
2.8743,0.34299
2.9028,0.29004
2.9312,0.34585
2.9597,0.25981
2.9882,0.31429
3.0166,0.29877
3.0451,0.27497
3.0735,0.32361
3.102,0.25692
3.1305,0.29342
3.1589,0.23249
3.1874,0.29145
3.2158,0.22981
3.2443,0.26967
3.2727,0.22286
3.3012,0.2203
3.3297,0.20058
3.3581,0.21468
3.3866,0.184
3.415,0.14419
3.4435,0.13825
3.472,0.16262
3.5004,0.095399
3.5289,0.14764
3.5573,0.064879
3.5858,0.09986
3.6142,0.024369
3.6427,0.064125
3.6712,0.0088285
3.6996,0.0308
3.7281,-0.021937
3.7565,-0.011789
3.785,-0.074541
3.8135,-0.057932
3.8419,-0.070115
3.8704,-0.091433
3.8988,-0.096248
3.9273,-0.12483
3.9558,-0.14593
3.9842,-0.12598
4.0127,-0.16137
4.0411,-0.16754
4.0696,-0.18546
4.098,-0.18474
4.1265,-0.20799
4.155,-0.21409
4.1834,-0.22777
4.2119,-0.23117
4.2403,-0.24448
4.2688,-0.26225
4.2973,-0.24981
4.3257,-0.26798
4.3542,-0.27699
4.3826,-0.28272
4.4111,-0.28828
4.4395,-0.29466
4.468,-0.29866
4.4965,-0.30128
4.5249,-0.30494
4.5534,-0.31063
4.5818,-0.3133
4.6103,-0.3095
4.6388,-0.32511
4.6672,-0.3324
4.6957,-0.31585
4.7241,-0.32528
4.7526,-0.32431
4.7811,-0.31928
4.8095,-0.32904
4.838,-0.35076
4.8664,-0.31476
4.8949,-0.31746
4.9233,-0.3569
4.9518,-0.31337
4.9803,-0.33041
5.0087,-0.33659
5.0372,-0.33321
5.0656,-0.312
5.0941,-0.34106
5.1226,-0.3179
5.151,-0.33218
5.1795,-0.28972
5.2079,-0.27723
5.2364,-0.35135
5.2648,-0.27004
5.2933,-0.32775
5.3218,-0.27758
5.3502,-0.30997
5.3787,-0.25421
5.4071,-0.27487
5.4356,-0.25161
5.4641,-0.28042
5.4925,-0.23225
5.521,-0.24865
5.5494,-0.21004
5.5779,-0.228
5.6064,-0.20236
5.6348,-0.21102
5.6633,-0.12758
5.6917,-0.17689
5.7202,-0.13114
5.7486,-0.15547
5.7771,-0.11395
5.8056,-0.10786
5.834,-0.07354
5.8625,-0.063728
5.8909,-0.073113
5.9194,-0.038212
5.9479,-0.029965
5.9763,-0.014245
6.0048,0.0020604
6.0332,0.04245
6.0617,0.032079
6.0901,0.047945
6.1186,0.067633
6.1471,0.086371
6.1755,0.099734
6.204,0.10457
6.2324,0.11468
6.2609,0.13774
6.2894,0.14294
6.3178,0.15652
6.3463,0.16687
6.3747,0.17285
6.4032,0.19384
6.4317,0.20283
6.4601,0.21751
6.4886,0.21398
6.517,0.23907
6.5455,0.23584
6.5739,0.24874
6.6024,0.25948
6.6309,0.2601
6.6593,0.27665
6.6878,0.27954
6.7162,0.28455
6.7447,0.28926
6.7732,0.29533
6.8016,0.3
6.8301,0.3027
6.8585,0.30799
6.887,0.31198
6.9154,0.32799
6.9439,0.30862
6.9724,0.32274
7.0008,0.32027
7.0293,0.32204
7.0577,0.33722
7.0862,0.32809
7.1147,0.31433
7.1431,0.33304
7.1716,0.3394
7.2,0.31585
7.2285,0.32864
7.257,0.32379
7.2854,0.33652
7.3139,0.30602
7.3423,0.34532
7.3708,0.28989
7.3992,0.34154
7.4277,0.26737
7.4562,0.30662
7.4846,0.30526
7.5131,0.26333
7.5415,0.33697
7.57,0.25752
7.5985,0.29945
7.6269,0.23572
7.6554,0.29139
7.6838,0.22295
7.7123,0.26935
7.7408,0.22472
7.7692,0.22552
7.7977,0.20091
7.8261,0.21634
7.8546,0.16715
7.883,0.169
7.9115,0.11337
7.94,0.1856
7.9684,0.091248
7.9969,0.15334
8.0253,0.068318
8.0538,0.084861
8.0823,0.036712
8.1107,0.069004
8.1392,0.0092927
8.1676,0.025869
8.1961,-0.020246
8.2245,-0.0073931
8.253,-0.07512
8.2815,-0.055766
8.3099,-0.068221
8.3384,-0.088328
8.3668,-0.10313
8.3953,-0.11917
8.4238,-0.14223
8.4522,-0.12583
8.4807,-0.1615
8.5091,-0.16864
8.5376,-0.18194
8.5661,-0.18627
8.5945,-0.20572
8.623,-0.20909
8.6514,-0.22782
8.6799,-0.232
8.7083,-0.24065
8.7368,-0.26181
8.7653,-0.24969
8.7937,-0.26631
8.8222,-0.27668
8.8506,-0.28146
8.8791,-0.28763
8.9076,-0.29432
8.936,-0.29808
8.9645,-0.301
