"Time","pₕ"
0.028459,-0.07764
0.056917,-0.18965
0.085376,-0.21771
0.11383,-0.23669
0.14229,-0.25299
0.17075,-0.26448
0.19921,-0.27501
0.22767,-0.28449
0.25613,-0.29316
0.28459,-0.29938
0.31305,-0.30196
0.3415,-0.30884
0.36996,-0.31062
0.39842,-0.31799
0.42688,-0.31504
0.45534,-0.31685
0.4838,-0.32404
0.51226,-0.31913
0.54071,-0.31862
0.56917,-0.32173
0.59763,-0.31609
0.62609,-0.31311
0.65455,-0.31883
0.68301,-0.31286
0.71147,-0.31534
0.73992,-0.31044
0.76838,-0.29464
0.79684,-0.31582
0.8253,-0.28963
0.85376,-0.30227
0.88222,-0.2831
0.91068,-0.28987
0.93914,-0.27658
0.96759,-0.27224
0.99605,-0.25743
1.0245,-0.26833
1.053,-0.24575
1.0814,-0.24204
1.1099,-0.22918
1.1383,-0.22424
1.1668,-0.20506
1.1953,-0.20985
1.2237,-0.18104
1.2522,-0.19877
1.2806,-0.15675
1.3091,-0.1706
1.3376,-0.13887
1.366,-0.13646
1.3945,-0.12265
1.4229,-0.1046
1.4514,-0.094039
1.4798,-0.085876
1.5083,-0.063857
1.5368,-0.05002
1.5652,-0.033449
1.5937,-0.015923
1.6221,-0.0061373
1.6506,0.020665
1.6791,0.031715
1.7075,0.031534
1.736,0.07459
1.7644,0.08011
1.7929,0.074563
1.8214,0.11005
1.8498,0.1365
1.8783,0.12555
1.9067,0.1436
1.9352,0.15916
1.9636,0.17898
1.9921,0.19456
2.0206,0.20109
2.049,0.20415
2.0775,0.22534
2.1059,0.23496
2.1344,0.24868
2.1629,0.25693
2.1913,0.2732
2.2198,0.28145
2.2482,0.29065
2.2767,0.29931
2.3051,0.30822
2.3336,0.31416
2.3621,0.3194
2.3905,0.32854
2.419,0.33422
2.4474,0.34766
2.4759,0.34776
2.5044,0.35022
2.5328,0.35231
2.5613,0.36284
2.5897,0.36219
2.6182,0.3678
2.6467,0.35833
2.6751,0.36527
2.7036,0.36981
2.732,0.36199
2.7605,0.36382
2.7889,0.36579
2.8174,0.35711
2.8459,0.35545
2.8743,0.35911
2.9028,0.34976
2.9312,0.3563
2.9597,0.35627
2.9882,0.3508
3.0166,0.35115
3.0451,0.33589
3.0735,0.33715
3.102,0.32707
3.1305,0.32332
3.1589,0.31693
3.1874,0.29981
3.2158,0.29883
3.2443,0.28241
3.2727,0.28183
3.3012,0.25822
3.3297,0.25264
3.3581,0.24024
3.3866,0.22891
3.415,0.21834
3.4435,0.20536
3.472,0.19363
3.5004,0.17544
3.5289,0.16026
3.5573,0.14388
3.5858,0.1307
3.6142,0.1146
3.6427,0.09011
3.6712,0.078691
3.6996,0.055405
3.7281,0.044225
3.7565,0.02289
3.785,0.0084723
3.8135,-0.012782
3.8419,-0.029417
3.8704,-0.04542
3.8988,-0.05961
3.9273,-0.073886
3.9558,-0.098067
3.9842,-0.10849
4.0127,-0.12267
